,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
117,Newton Rd & 44 St,40.7595701,-73.9142678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,W 12 St & W 4 St,40.73756121181137,-74.00398269295692,1.1260416666666666,1.0588541666666667,1.0401041666666668,1.0293402777777778,1.0538194444444446,1.0368055555555555,1.1647569444444443,1.1696180555555555,1.0467013888888888,1.0092013888888889,1.012673611111111,0.9796874999999999,1.1569444444444443,1.198611111111111
119,E 27 St & 1 Ave,40.739445,-73.976806,2.461979166666667,2.3796874999999997,5.377604166666665,5.937152777777778,5.577604166666666,6.058680555555555,5.711631944444445,6.054166666666667,5.32795138888889,5.727256944444445,5.4390624999999995,5.948784722222221,2.7892361111111117,2.752256944444445
120,Lincoln Pl & Classon Ave,40.6721683,-73.9609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,E 20 St & Park Ave,40.73827428,-73.98751968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,2.547569444444444,2.509548611111111,3.736284722222223,3.754861111111111,4.107986111111111,4.098090277777778,4.518923611111111,4.461631944444444,4.188541666666667,4.172916666666667,4.068576388888888,4.0609375000000005,2.9467013888888887,2.923958333333333
123,Washington Pl & 6 Ave,40.73224119,-74.00026394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Douglass St & 4 Ave,40.6792788,-73.98154004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,W 82 St & Central Park West,40.78275,-73.97137,2.095486111111111,2.481076388888889,1.6383680555555555,2.212152777777778,1.6081597222222221,2.155381944444444,1.6041666666666667,2.2465277777777772,1.6225694444444443,2.1569444444444446,1.6864583333333334,2.344791666666666,2.106076388888889,2.5015625
